session_id,t_rel,label,ms,n_persons,conf,bbox_w,bbox_h,aspect,sh_y,hip_y,sh_hip_gap,sh_hip_gap_norm,torso_angle,ank_y,kp_ok
20260712_035305,9.914,fallen,68.4,2,0.183194,105.785400,413.431381,0.255872,,,,,,440.125061,4
20260712_035305,9.996,fallen,74.2,2,0.151885,50.853443,315.089569,0.161394,,,,,,,1
20260712_035305,10.078,fallen,73.4,3,0.189717,107.498169,347.918396,0.308975,,,,,,457.015625,4
20260712_035305,10.162,fallen,77.0,2,0.424586,50.159554,311.581543,0.160984,,,,,,281.975189,3
20260712_035305,10.252,fallen,82.7,3,0.230421,104.989746,384.174133,0.273287,,,,,,448.925995,4
20260712_035305,10.348,fallen,88.4,2,0.236315,106.900635,406.599426,0.262914,,,,,,459.155548,4
20260712_035305,10.423,fallen,68.0,2,0.215803,50.811348,313.731567,0.161958,,,,,,,2
20260712_035305,10.506,fallen,75.1,3,0.296440,107.916016,379.524048,0.284346,,,,,,459.312988,5
20260712_035305,10.589,fallen,75.9,1,0.795030,98.329590,130.363617,0.754272,187.218719,226.236465,39.017746,0.299299,14.597858,276.980438,17
20260712_035305,10.677,fallen,78.7,2,0.256949,107.533936,386.454971,0.278257,,,,,,454.867096,4
20260712_035305,10.762,fallen,77.4,2,0.220898,49.889511,313.963379,0.158902,,,,,,,1
20260712_035305,10.838,fallen,68.1,3,0.301622,107.389893,363.562744,0.295382,,,,,,455.132568,4
20260712_035305,10.918,fallen,72.7,3,0.311633,107.010864,344.414368,0.310704,,,,,,459.403625,4
20260712_035305,11.011,fallen,85.6,2,0.206936,51.063629,309.829987,0.164812,,,,,,,2
20260712_035305,11.090,fallen,71.1,3,0.235772,105.815796,335.879028,0.315041,,331.609253,,,,456.742065,6
20260712_035305,11.170,fallen,72.4,3,0.240472,106.438538,360.081482,0.295596,,,,,,,3
20260712_035305,11.251,fallen,71.9,1,0.836687,95.840820,130.446289,0.734715,187.496307,225.813004,38.316696,0.293735,14.337075,275.293518,17
20260712_035305,11.334,fallen,74.4,2,0.203525,105.927856,346.076416,0.306082,,,,,,456.220581,5
20260712_035305,11.415,fallen,73.6,2,0.286500,50.159340,314.121033,0.159682,,,,,,,1
20260712_035305,11.525,fallen,101.2,2,0.297852,50.627342,312.421692,0.162048,,,,,,284.770874,2
20260712_035305,11.611,fallen,80.2,1,0.833933,94.701965,129.802673,0.729584,187.811676,225.254364,37.442688,0.288459,13.955234,274.925323,17
20260712_035305,11.710,fallen,89.5,3,0.226912,106.441528,363.623413,0.292725,,283.698914,,,,435.919983,6
20260712_035305,11.794,fallen,76.9,3,0.336373,106.926025,377.586243,0.283183,,,,,,452.251038,4
20260712_035305,11.881,fallen,80.2,3,0.248786,108.403809,389.015198,0.278662,,,,,,451.115784,4
20260712_035305,11.960,fallen,71.5,3,0.297415,108.518188,388.578369,0.279270,,,,,,457.659332,4
20260712_035305,12.040,fallen,72.8,3,0.307846,107.247803,375.131042,0.285894,,,,,,452.385254,5
20260712_035305,12.123,fallen,73.4,3,0.200967,105.100220,381.782974,0.275288,,,,,,443.704102,5
20260712_035305,12.212,fallen,79.9,3,0.250025,106.346069,344.375000,0.308809,,,,,,454.432312,4
20260712_035305,12.288,fallen,67.5,3,0.240656,108.244141,329.422745,0.328587,,304.869446,,,,452.844543,6
20260712_035305,12.372,fallen,75.5,2,0.362057,49.789848,312.527588,0.159313,,,,,,285.069122,3
20260712_035305,12.460,fallen,79.2,3,0.366286,106.628784,329.264404,0.323839,,,,,,460.523102,5
20260712_035305,12.555,fallen,86.0,4,0.305090,107.519531,358.016968,0.300320,,296.643341,,,,446.221069,6
20260712_035305,12.643,fallen,81.6,4,0.233638,106.838989,328.983459,0.324755,,,,,,452.971436,4
20260712_035305,12.730,fallen,77.6,3,0.246872,106.625122,331.073120,0.322059,,,,,,455.869202,4
20260712_035305,12.813,fallen,75.0,4,0.204539,107.328857,343.379456,0.312566,,,,,,452.938721,4
20260712_035305,12.898,fallen,76.5,3,0.234183,106.616211,344.717041,0.309286,,,,,,,1
20260712_035305,12.981,fallen,73.2,3,0.170596,105.344116,322.047470,0.327107,,296.166687,,,,430.975464,6
20260712_035305,13.061,fallen,71.7,3,0.211250,106.976929,332.537476,0.321699,,,,,,459.725891,4
20260712_035305,13.143,fallen,74.5,3,0.247939,106.948853,354.732239,0.301492,,,,,,448.778076,5
20260712_035305,13.224,fallen,73.6,3,0.310306,108.400024,360.600342,0.300610,,,,,,458.167450,5
20260712_035305,13.330,fallen,97.8,2,0.265195,107.656677,341.183411,0.315539,,,,,,457.608459,4
20260712_035305,13.419,fallen,81.3,4,0.178087,108.313049,426.296631,0.254079,,,,,,454.084717,4
20260712_035305,13.503,fallen,76.2,4,0.309465,107.870728,403.739563,0.267179,,,,,,455.058167,4
20260712_035305,13.586,fallen,75.1,3,0.274143,106.615967,390.145508,0.273272,,,,,,449.131165,4
20260712_035305,13.680,fallen,84.4,3,0.235962,106.744141,375.290833,0.284430,,,,,,454.459839,4
20260712_035305,13.761,fallen,73.4,3,0.262723,108.513855,409.001343,0.265314,,,,,,458.135254,4
20260712_035305,13.840,fallen,70.9,2,0.393338,51.242023,312.851807,0.163790,,,,,,283.313171,3
20260712_035305,13.920,fallen,72.5,2,0.856014,93.306274,129.174194,0.722329,187.474670,225.580307,38.105637,0.294994,14.600739,276.516327,17
