session_id,t_rel,label,ms,n_persons,conf,bbox_w,bbox_h,aspect,sh_y,hip_y,sh_hip_gap,sh_hip_gap_norm,torso_angle,ank_y,kp_ok
20260712_004950,0.000,fallen,84.8,1,0.240465,258.090698,91.300110,2.826839,295.358398,311.808411,16.450012,0.063737,74.810422,343.070679,16
20260712_004950,0.102,fallen,93.5,1,0.171793,398.079376,278.354004,1.430119,252.347015,324.228241,71.881226,0.180570,34.209843,324.917603,8
20260712_004950,0.193,fallen,80.9,0,,,,,,,,,,,0
20260712_004950,0.277,fallen,76.5,1,0.215187,403.676788,285.593124,1.413468,245.778625,320.538635,74.760010,0.185198,35.415754,329.632843,11
20260712_004950,0.361,fallen,73.4,1,0.274462,404.156372,299.794907,1.348110,255.468079,330.943115,75.475037,0.186747,36.779384,329.435730,10
20260712_004950,0.460,fallen,92.1,1,0.304115,401.599731,293.430420,1.368637,252.078186,335.815674,83.737488,0.208510,33.101708,325.144012,10
20260712_004950,0.548,fallen,78.9,1,0.238455,405.117737,300.200134,1.349492,251.694458,342.453430,90.758972,0.224031,31.676911,325.501373,10
20260712_004950,0.639,fallen,81.5,0,,,,,,,,,,,0
20260712_004950,0.720,fallen,73.0,0,,,,,,,,,,,0
20260712_004950,0.808,fallen,80.1,2,0.150445,234.606827,88.119751,2.662364,294.952942,312.297974,17.345032,0.073932,73.733465,333.679626,17
20260712_004950,0.896,fallen,78.9,2,0.161194,332.701874,95.989746,3.466015,291.663544,312.472900,20.809357,0.062547,71.907608,347.013367,17
20260712_004950,0.973,fallen,68.1,0,,,,,,,,,,,0
20260712_004950,1.061,fallen,78.6,0,,,,,,,,,,,0
20260712_004950,1.140,fallen,70.7,0,,,,,,,,,,,0
20260712_004950,1.220,fallen,72.1,0,,,,,,,,,,,0
20260712_004950,1.306,fallen,76.8,1,0.185138,410.996643,262.299698,1.566897,240.445068,328.192017,87.746948,0.213498,25.772588,341.565002,13
20260712_004950,1.385,fallen,69.9,0,,,,,,,,,,,0
20260712_004950,1.472,fallen,75.7,1,0.200015,413.754944,276.129395,1.498410,244.932281,330.714233,85.781952,0.207326,29.623593,340.513794,10
20260712_004950,1.585,fallen,101.7,1,0.450209,238.523560,88.762207,2.687220,295.413239,308.603088,13.189850,0.055298,77.193070,339.565186,16
20260712_004950,1.665,fallen,71.2,1,0.300021,267.942139,89.865967,2.981575,295.740845,311.891663,16.150818,0.060277,74.977316,344.165985,16
20260712_004950,1.758,fallen,86.1,2,0.155215,353.673218,90.357300,3.914163,293.134644,313.552216,20.417572,0.057730,72.152203,344.832306,16
20260712_004950,1.849,fallen,81.8,1,0.592823,227.509338,85.666748,2.655749,296.148651,308.453735,12.305084,0.054086,77.097518,340.231018,17
20260712_004950,1.940,fallen,77.9,1,0.324646,219.894287,85.419922,2.574274,295.454102,308.622009,13.167908,0.059883,76.563011,338.109558,16
20260712_004950,2.017,fallen,69.9,0,,,,,,,,,,,0
20260712_004950,2.095,fallen,68.2,1,0.209969,403.667175,284.522949,1.418751,259.412567,329.235016,69.822449,0.172970,33.997266,331.106873,8
20260712_004950,2.182,fallen,75.1,1,0.306384,214.445435,85.728149,2.501459,295.685364,310.399536,14.714172,0.068615,75.978763,338.327209,16
20260712_004950,2.266,fallen,74.9,1,0.188864,401.698914,276.672729,1.451892,248.563660,313.658081,65.094421,0.162048,35.637192,333.328888,9
20260712_004950,2.375,fallen,101.6,2,0.213445,321.165955,90.380981,3.553468,292.573914,313.284729,20.710815,0.064486,71.545503,345.464355,17
20260712_004950,2.477,fallen,93.2,1,0.534993,239.886780,85.491577,2.805970,295.854370,309.213562,13.359192,0.055690,76.342678,341.242249,17
20260712_004950,2.580,fallen,93.0,2,0.201886,324.838440,93.154175,3.487106,292.547302,314.132263,21.584961,0.066448,70.724832,346.440613,17
20260712_004950,2.685,fallen,96.0,1,0.167630,241.749405,90.294556,2.677342,296.938843,316.062500,19.123657,0.079105,72.873246,344.959656,16
20260712_004950,2.786,fallen,88.8,0,,,,,,,,,,,0
20260712_004950,2.881,fallen,86.5,1,0.268276,405.972473,289.962296,1.400087,258.095428,335.848145,77.752716,0.191522,33.548614,324.394196,10
20260712_004950,2.971,fallen,80.1,1,0.237326,400.843475,296.541153,1.351730,256.034363,337.530396,81.496033,0.203311,30.526775,321.320129,8
20260712_004950,3.053,fallen,72.5,0,,,,,,,,,,,0
20260712_004950,3.129,fallen,67.2,0,,,,,,,,,,,0
20260712_004950,3.206,fallen,67.9,1,0.539807,251.393127,89.286377,2.815582,294.621552,307.413300,12.791748,0.050883,77.023356,342.312286,17
20260712_004950,3.296,fallen,82.6,1,0.390672,240.235733,89.153809,2.694621,294.389404,309.264099,14.874695,0.061917,75.178739,340.145996,17
20260712_004950,3.388,fallen,83.6,2,0.285889,333.578857,91.887390,3.630301,291.340363,312.740112,21.399750,0.064152,70.309772,347.532410,17
20260712_004950,3.479,fallen,82.9,2,0.167861,345.925446,92.445435,3.741942,291.995667,312.730042,20.734375,0.059939,71.108489,346.043823,17
20260712_004950,3.563,fallen,77.2,0,,,,,,,,,,,0
20260712_004950,3.673,fallen,101.2,1,0.305601,231.881714,87.241028,2.657943,295.410278,309.851135,14.440857,0.062277,75.845372,338.565186,16
20260712_004950,3.752,fallen,70.4,1,0.487119,235.442383,89.130066,2.641560,295.410828,308.135712,12.724884,0.054047,77.035214,342.411255,16
20260712_004950,3.831,fallen,70.1,0,,,,,,,,,,,0
20260712_004950,3.918,fallen,78.3,0,,,,,,,,,,,0
20260712_004950,4.013,fallen,85.9,0,,,,,,,,,,,0
