session_id,t_rel,label,ms,n_persons,conf,bbox_w,bbox_h,aspect,sh_y,hip_y,sh_hip_gap,sh_hip_gap_norm,torso_angle,ank_y,kp_ok
20260712_041211,0.000,fallen,107.1,3,0.153924,76.098755,386.841003,0.196718,,,,,,461.171906,4
20260712_041211,0.123,fallen,115.0,1,0.824211,164.698013,136.442810,1.207085,271.172852,302.146179,30.973328,0.188061,46.967856,338.999878,16
20260712_041211,0.230,fallen,99.1,1,0.800762,161.244507,136.955994,1.177345,272.983826,303.053192,30.069366,0.186483,50.886873,342.753571,16
20260712_041211,0.337,fallen,97.8,2,0.563175,166.319702,135.940689,1.223473,274.791687,297.310028,22.518341,0.135392,57.011465,340.986328,15
20260712_041211,0.445,fallen,93.5,3,0.238959,82.350708,283.225052,0.290761,,,,,,461.872284,4
20260712_041211,0.551,fallen,95.0,2,0.805350,164.882019,136.103394,1.211447,275.535278,302.791473,27.256195,0.165307,52.922913,339.723358,16
20260712_041211,0.644,fallen,83.6,1,0.816797,161.493759,135.219971,1.194304,277.102905,309.957611,32.854706,0.203443,48.945398,336.396057,16
20260712_041211,0.731,fallen,78.1,1,0.836565,162.014526,136.486633,1.187036,275.398376,306.506165,31.107788,0.192006,51.622240,337.739563,15
20260712_041211,0.823,fallen,82.7,2,0.157559,90.339478,293.049561,0.308274,,,,,,,2
20260712_041211,0.915,fallen,84.8,1,0.829865,161.783264,131.149597,1.233578,278.480835,309.496918,31.016083,0.191714,52.165344,335.488251,16
20260712_041211,1.016,fallen,92.2,1,0.788453,163.370361,130.068298,1.256035,277.830750,306.658081,28.827332,0.176454,54.904055,334.407196,16
20260712_041211,1.126,fallen,100.3,1,0.807190,162.184464,129.377930,1.253571,278.369873,304.815063,26.445190,0.163056,58.437200,335.525146,16
20260712_041211,1.212,fallen,76.4,1,0.817206,163.417969,130.222107,1.254917,283.194855,310.811523,27.616669,0.168994,59.766825,336.606323,16
20260712_041211,1.300,fallen,79.3,1,0.824973,162.947632,129.403992,1.259216,279.151428,304.271027,25.119598,0.154157,60.516888,339.365662,16
20260712_041211,1.383,fallen,73.3,1,0.814321,162.925797,128.977356,1.263212,280.535461,305.352112,24.816650,0.152319,60.340296,335.890747,16
20260712_041211,1.464,fallen,71.2,1,0.833530,163.456192,130.805664,1.249611,281.835266,309.030640,27.195374,0.166377,59.213347,339.960724,16
20260712_041211,1.550,fallen,78.2,2,0.827702,163.896118,130.550400,1.255424,279.880676,303.291687,23.411011,0.142841,61.737176,339.586426,16
20260712_041211,1.635,fallen,75.3,1,0.808501,165.651550,128.944458,1.284674,282.677765,303.102600,20.424835,0.123300,63.247898,336.668213,16
20260712_041211,1.716,fallen,72.1,1,0.837292,163.402832,128.373917,1.272866,283.501709,305.936981,22.435272,0.137300,63.041885,339.109314,16
20260712_041211,1.794,fallen,68.4,1,0.825312,165.385513,129.217834,1.279897,281.493500,306.662933,25.169434,0.152186,59.659777,338.763336,16
20260712_041211,1.876,fallen,74.5,3,0.199726,85.751221,282.098206,0.303976,,,,,,,2
20260712_041211,1.956,fallen,72.5,1,0.780713,164.790527,128.554321,1.281875,283.786072,302.954956,19.168884,0.116323,64.155452,340.875916,13
20260712_041211,2.041,fallen,76.4,2,0.718726,164.875626,127.586243,1.292268,284.178192,297.899139,13.720947,0.083220,69.746858,338.574341,15
20260712_041211,2.129,fallen,78.7,2,0.235204,77.857910,273.676300,0.284489,,,,,,465.037659,4
20260712_041211,2.223,fallen,84.7,2,0.772913,163.398300,128.201965,1.274538,284.495056,304.082642,19.587585,0.119876,65.766549,337.462158,16
20260712_041211,2.323,fallen,91.9,1,0.831318,163.949478,128.073242,1.280123,283.649475,309.030487,25.381012,0.154810,59.518287,337.290894,15
20260712_041211,2.437,fallen,104.8,4,0.161532,68.547791,429.108414,0.159745,,,,,,458.659332,4
20260712_041211,2.523,fallen,76.5,1,0.802010,164.432983,125.818863,1.306902,285.857941,304.396484,18.538544,0.112742,67.960683,332.961609,17
20260712_041211,2.636,fallen,105.1,2,0.809698,163.882202,127.008972,1.290320,282.380585,301.284607,18.904022,0.115351,65.997953,340.550323,15
20260712_041211,2.725,fallen,78.0,1,0.776797,166.496765,128.471573,1.295981,283.004059,298.118225,15.114166,0.090778,70.662530,339.251770,15
20260712_041211,2.805,fallen,69.6,1,0.768613,163.189590,126.668716,1.288318,285.215485,296.868958,11.653473,0.071411,75.096665,334.525452,16
20260712_041211,2.889,fallen,76.9,2,0.606519,163.841904,128.051636,1.279499,284.482849,297.067749,12.584900,0.076811,71.610362,334.048950,15
20260712_041211,2.974,fallen,77.0,1,0.744041,164.985779,128.979477,1.279163,286.572601,302.363342,15.790741,0.095710,69.754455,339.467072,15
20260712_041211,3.062,fallen,80.6,1,0.816680,162.874512,127.894516,1.273507,284.534851,304.059021,19.524170,0.119872,65.857338,335.023834,15
20260712_041211,3.164,fallen,93.0,1,0.802294,163.684998,126.702454,1.291885,286.609161,300.114197,13.505035,0.082506,74.462794,329.219727,16
20260712_041211,3.261,fallen,88.8,1,0.778574,165.495789,128.552307,1.287381,286.872681,302.138306,15.265625,0.092242,71.478226,339.870178,15
20260712_041211,3.376,fallen,106.7,1,0.814938,164.584839,127.849915,1.287329,288.968170,308.212799,19.244629,0.116928,67.876671,336.720642,17
20260712_041211,3.462,fallen,76.7,1,0.788798,163.724182,128.499008,1.274128,287.910553,301.393677,13.483124,0.082353,73.696000,340.208557,16
20260712_041211,3.549,fallen,78.8,1,0.798140,165.106079,129.605408,1.273914,283.002625,295.317047,12.314423,0.074585,71.765988,338.520813,16
20260712_041211,3.640,fallen,81.6,2,0.455095,165.012695,128.114075,1.288014,290.371735,298.049133,7.677399,0.046526,60.698428,314.783386,15
20260712_041211,3.729,fallen,80.2,1,0.811560,163.401123,128.790833,1.268733,280.628418,301.211395,20.582977,0.125966,63.458105,339.498840,15
20260712_041211,3.816,fallen,76.8,2,0.802223,163.747818,127.946548,1.279814,283.914459,301.843079,17.928619,0.109489,68.306563,339.950775,15
20260712_041211,3.907,fallen,81.8,3,0.227080,89.354370,373.671387,0.239126,,,,,,462.155823,4
20260712_041211,3.998,fallen,83.7,3,0.159380,77.990051,409.931641,0.190251,,,,,,461.640869,4
20260712_041211,4.097,fallen,90.4,1,0.810622,164.256210,128.208557,1.281164,282.825012,301.812897,18.987885,0.115599,67.322442,337.592957,15
20260712_041211,4.190,fallen,83.8,1,0.806093,165.263794,127.889587,1.292238,281.744995,302.985901,21.240906,0.128527,61.835885,336.161713,16
20260712_041211,4.271,fallen,71.3,1,0.810666,163.495712,128.936279,1.268035,284.726929,305.503235,20.776306,0.127076,65.381994,339.322968,15
20260712_041211,4.364,fallen,85.5,2,0.712955,163.977280,127.783997,1.283238,282.316528,297.223083,14.906555,0.090906,70.237211,338.747375,16
