session_id,t_rel,label,ms,n_persons,conf,bbox_w,bbox_h,aspect,sh_y,hip_y,sh_hip_gap,sh_hip_gap_norm,torso_angle,ank_y,kp_ok
20260712_035639,0.000,unlabeled,88.4,3,0.848572,138.375061,180.127914,0.768204,234.181549,275.970428,41.788879,0.231996,8.274892,356.129211,17
20260712_035639,0.089,unlabeled,80.5,2,0.855941,139.270630,179.358582,0.776493,232.870453,274.693451,41.822998,0.233181,7.800816,355.896790,17
20260712_035639,0.184,unlabeled,85.5,2,0.832991,136.960693,179.912231,0.761264,232.268341,272.065369,39.797028,0.221202,10.086029,357.257446,16
20260712_035639,0.263,unlabeled,70.3,2,0.206416,76.936035,302.455444,0.254371,,,,,,289.512360,4
20260712_035639,0.347,unlabeled,75.3,1,0.858111,134.462158,179.110703,0.750721,231.082733,270.629730,39.546997,0.220796,8.713872,355.680511,16
20260712_035639,0.440,unlabeled,84.8,2,0.839856,131.701355,178.166809,0.739203,232.181030,272.917450,40.736420,0.228642,9.041800,356.235016,16
20260712_035639,0.547,unlabeled,98.8,1,0.854498,120.614014,172.761581,0.698153,232.193787,269.700256,37.506470,0.217100,9.354953,354.394104,16
20260712_035639,0.639,unlabeled,84.0,2,0.843252,130.901245,178.863281,0.731851,232.139923,270.710846,38.570923,0.215645,8.224796,356.771484,16
20260712_035639,0.747,unlabeled,100.1,2,0.853887,134.673462,179.995010,0.748207,232.257858,271.600708,39.342850,0.218577,9.267042,356.801819,16
20260712_035639,0.852,unlabeled,96.3,2,0.854707,130.500305,177.478775,0.735301,231.226334,267.899719,36.673386,0.206635,8.683227,356.468323,16
20260712_035639,0.949,unlabeled,85.4,1,0.860980,135.816284,180.179138,0.753785,230.937073,267.406555,36.469482,0.202407,7.422086,356.717896,16
20260712_035639,1.075,unlabeled,118.4,2,0.851362,132.250244,179.034073,0.738688,232.198456,269.751892,37.553436,0.209756,7.641325,357.435303,16
20260712_035639,1.162,unlabeled,78.5,2,0.848590,130.726807,176.565796,0.740386,232.341431,270.410461,38.069031,0.215608,10.294204,355.599274,17
20260712_035639,1.243,unlabeled,71.8,1,0.857145,126.666748,177.247559,0.714632,231.964493,271.281494,39.317001,0.221820,8.160586,354.757263,17
20260712_035639,1.336,unlabeled,85.1,2,0.866675,137.137817,180.362000,0.760348,232.462677,275.236938,42.774261,0.237158,7.416579,355.772400,17
20260712_035639,1.441,unlabeled,95.5,1,0.866757,137.954895,179.855957,0.767030,231.956238,272.394714,40.438477,0.224838,8.644562,355.255066,17
20260712_035639,1.534,unlabeled,83.5,1,0.870903,140.097778,180.173157,0.777573,232.450516,273.866760,41.416245,0.229869,7.900911,355.277344,16
20260712_035639,1.630,unlabeled,88.1,2,0.280933,75.070068,313.085114,0.239775,,,,,,,2
20260712_035639,1.712,unlabeled,72.4,2,0.859371,133.210327,177.574707,0.750165,232.149124,271.659485,39.510361,0.222500,7.722772,355.519226,16
20260712_035639,1.794,unlabeled,72.6,2,0.852927,131.183838,180.266495,0.727722,231.429443,269.978821,38.549377,0.213847,9.778148,357.035431,16
20260712_035639,1.876,unlabeled,74.8,1,0.838833,133.407288,178.653015,0.746740,232.260834,269.095398,36.834564,0.206179,8.420788,357.033356,16
20260712_035639,1.986,unlabeled,102.5,2,0.847273,130.832153,179.374771,0.729379,232.635986,272.759338,40.123352,0.223684,8.894503,356.104065,16
20260712_035639,2.075,unlabeled,80.9,2,0.259627,74.277100,306.267151,0.242524,,,,,,,3
20260712_035639,2.164,unlabeled,79.5,2,0.846350,136.174683,179.329834,0.759353,232.409241,273.414978,41.005737,0.228661,7.729934,357.490479,16
20260712_035639,2.261,unlabeled,89.5,2,0.848044,133.814697,178.248291,0.750721,232.642212,274.674072,42.031860,0.235805,8.216058,355.519470,17
20260712_035639,2.346,unlabeled,74.8,2,0.849394,130.847229,179.607544,0.728517,231.188660,268.110657,36.921997,0.205570,8.380924,355.663086,16
20260712_035639,2.422,unlabeled,67.4,2,0.856665,137.071899,179.028625,0.765642,231.745178,272.932953,41.187775,0.230063,8.089790,355.984741,16
20260712_035639,2.514,unlabeled,83.6,2,0.860411,135.484985,178.646240,0.758398,231.490936,271.615295,40.124359,0.224602,7.045651,355.745605,16
20260712_035639,2.625,unlabeled,102.5,1,0.850412,137.144653,179.869385,0.762468,232.260132,271.786499,39.526367,0.219750,7.539031,357.840302,16
20260712_035639,2.736,unlabeled,101.1,2,0.856586,135.726807,178.046265,0.762312,231.475143,271.959900,40.484756,0.227383,7.672345,356.680115,16
20260712_035639,2.830,unlabeled,85.8,2,0.307727,76.723999,305.489563,0.251151,,,,,,285.895447,4
20260712_035639,2.915,unlabeled,77.1,2,0.854741,130.178467,179.636658,0.724677,233.013580,272.723083,39.709503,0.221055,9.249655,356.241150,16
20260712_035639,3.026,unlabeled,103.3,2,0.851954,131.575317,179.144760,0.734464,232.349670,275.532593,43.182922,0.241050,9.026430,356.356262,16
20260712_035639,3.122,unlabeled,87.0,2,0.844109,132.006714,177.463623,0.743852,233.318207,275.896423,42.578217,0.239926,8.784245,355.965240,16
20260712_035639,3.217,unlabeled,87.6,2,0.853609,134.631226,179.400040,0.750453,232.597641,274.225708,41.628067,0.232040,9.182117,356.156006,16
20260712_035639,3.311,unlabeled,85.7,1,0.860919,134.563477,179.805359,0.748384,232.502609,273.745117,41.242508,0.229373,9.071074,355.146057,16
20260712_035639,3.392,unlabeled,73.2,2,0.859801,135.650818,180.032700,0.753479,232.316071,273.382233,41.066162,0.228104,8.902281,355.837891,16
20260712_035639,3.472,unlabeled,70.1,1,0.856667,130.735046,176.848572,0.739249,231.493256,269.971191,38.477936,0.217576,9.495266,357.320129,16
20260712_035639,3.581,unlabeled,101.3,2,0.852871,128.873779,176.020142,0.732154,232.601318,272.741608,40.140289,0.228044,9.494721,357.393250,16
20260712_035639,3.687,unlabeled,98.5,2,0.857087,132.576111,180.086487,0.736180,231.524597,269.604370,38.079773,0.211453,8.208752,356.823547,16
20260712_035639,3.782,unlabeled,84.6,2,0.857997,137.147827,179.987488,0.761985,232.504135,273.833557,41.329422,0.229624,8.315432,356.514893,17
20260712_035639,3.868,unlabeled,76.3,2,0.863516,137.783569,180.755798,0.762264,231.577301,270.523926,38.946625,0.215465,8.607393,357.200073,16
20260712_035639,3.974,unlabeled,96.7,1,0.841649,133.908447,178.391708,0.750643,232.418152,273.437622,41.019470,0.229940,8.302597,356.764343,16
20260712_035639,4.065,unlabeled,83.8,2,0.853462,134.509949,180.973877,0.743256,231.831055,273.612274,41.781219,0.230869,7.976663,357.799896,16
20260712_035639,4.157,unlabeled,83.9,1,0.856143,135.964844,180.907700,0.751570,231.834686,272.941895,41.107208,0.227228,7.762454,357.725342,16
20260712_035639,4.258,unlabeled,91.4,1,0.854146,132.853821,180.008850,0.738040,231.012787,269.336426,38.323639,0.212899,6.281230,357.671021,16
20260712_035639,4.371,unlabeled,104.4,1,0.853485,136.821533,179.519104,0.762156,232.556534,273.608521,41.051987,0.228678,8.449823,356.797791,16
20260712_035639,4.450,unlabeled,70.7,1,0.854812,140.569824,180.272522,0.779763,230.975296,270.561035,39.585739,0.219588,6.677318,357.171204,16
20260712_035639,4.528,unlabeled,69.2,2,0.857615,137.066772,179.350937,0.764238,231.857941,270.749634,38.891693,0.216847,7.441996,356.180359,16
20260712_035639,4.608,unlabeled,69.5,2,0.852641,135.841064,179.140610,0.758293,232.364288,273.758179,41.393890,0.231069,7.298828,356.861633,16
20260712_035639,4.698,unlabeled,82.7,2,0.852051,130.580017,178.791077,0.730350,232.338821,272.954224,40.615402,0.227167,7.938068,356.773193,17
20260712_035639,4.784,unlabeled,76.7,1,0.861812,138.398071,178.941162,0.773428,231.094131,271.021912,39.927780,0.223134,7.218901,356.327515,16
20260712_035639,4.874,unlabeled,81.7,3,0.855480,135.932129,180.093933,0.754785,232.676865,273.425964,40.749100,0.226266,9.416374,356.904968,16
20260712_035639,4.974,unlabeled,90.7,1,0.847656,134.115356,180.269104,0.743973,232.073242,271.509674,39.436432,0.218764,6.783569,356.897247,16
20260712_035639,5.060,unlabeled,77.7,1,0.859245,132.844604,178.933731,0.742423,231.457581,269.947083,38.489502,0.215105,6.391119,355.671875,16
20260712_035639,5.139,unlabeled,71.1,2,0.862070,136.401001,181.343628,0.752169,232.041931,272.799316,40.757385,0.224752,7.055805,356.784485,16
20260712_035639,5.239,unlabeled,91.0,1,0.863211,131.755371,177.932068,0.740481,232.557495,274.658569,42.101074,0.236613,8.339068,355.529633,17
20260712_035639,5.351,unlabeled,102.0,2,0.856407,130.538330,178.609116,0.730860,232.957489,275.497742,42.540253,0.238175,9.971831,356.697510,16
20260712_035639,5.440,unlabeled,81.3,1,0.851062,129.687439,178.877747,0.725006,232.633453,273.393250,40.759796,0.227864,10.434707,357.468079,16
20260712_035639,5.526,unlabeled,76.2,2,0.844069,130.650879,182.248642,0.716883,231.386307,268.922241,37.535934,0.205960,8.113299,358.224243,16
20260712_035639,5.627,unlabeled,90.9,2,0.856715,135.491455,180.274887,0.751583,233.073486,275.795837,42.722351,0.236984,9.326278,356.894653,16
20260712_035639,5.728,unlabeled,93.2,1,0.843205,131.901001,178.390152,0.739396,232.215607,272.060852,39.845245,0.223360,8.208903,357.228851,16
20260712_035639,5.831,unlabeled,93.4,1,0.848587,130.089111,175.983887,0.739210,232.308655,273.797821,41.489166,0.235755,9.091727,356.195557,16
20260712_035639,5.926,unlabeled,86.3,2,0.827217,131.780396,176.310196,0.747435,232.170959,272.422241,40.251282,0.228298,9.144203,358.783081,16
20260712_035639,6.039,unlabeled,104.4,2,0.850550,136.360229,179.625122,0.759138,232.098938,272.882111,40.783173,0.227046,9.047453,357.656006,16
20260712_035639,6.133,unlabeled,87.3,1,0.866659,137.937317,179.861511,0.766908,231.527649,271.799866,40.272217,0.223907,8.002797,357.275635,16
20260712_035639,6.237,unlabeled,95.5,2,0.853560,128.829041,181.038925,0.711610,232.164337,272.645966,40.481628,0.223607,9.284560,357.401978,16
20260712_035639,6.323,unlabeled,75.1,2,0.871020,141.545776,181.203262,0.781144,230.815063,271.517273,40.702209,0.224622,7.099668,357.258545,16
20260712_035639,6.410,unlabeled,79.5,2,0.860196,133.598572,178.806992,0.747166,230.909210,269.392609,38.483398,0.215223,8.291613,356.097931,16
20260712_035639,6.501,unlabeled,80.2,2,0.846237,136.786743,181.399902,0.754062,232.836609,274.459442,41.622833,0.229453,8.212076,357.401093,16
20260712_035639,6.585,unlabeled,76.0,2,0.873524,138.276001,181.350159,0.762481,230.592438,270.810852,40.218414,0.221772,6.943160,357.468811,16
20260712_035639,6.670,unlabeled,75.1,1,0.859128,127.649902,180.862671,0.705784,232.434402,274.672699,42.238297,0.233538,7.399813,356.746948,16
20260712_035639,6.750,unlabeled,71.5,2,0.841175,130.066772,181.091125,0.718239,232.265015,270.332916,38.067902,0.210214,7.422171,358.361938,16
20260712_035639,6.831,unlabeled,72.4,1,0.845832,124.831055,180.659729,0.690973,232.952850,273.891907,40.939056,0.226609,9.191712,357.386902,16
20260712_035639,6.912,unlabeled,73.1,2,0.853502,133.094116,180.338501,0.738024,232.497620,272.328186,39.830566,0.220866,8.738097,357.502136,16
20260712_035639,7.008,unlabeled,87.1,1,0.852611,125.041321,178.606461,0.700094,233.393433,275.277191,41.883759,0.234503,10.082315,355.930359,16
20260712_035639,7.117,unlabeled,100.6,1,0.854609,127.629395,178.636230,0.714465,232.335831,274.460571,42.124741,0.235813,7.090481,356.382263,17
20260712_035639,7.220,unlabeled,94.9,1,0.865057,136.485535,180.109619,0.757791,232.557343,274.195129,41.637787,0.231180,7.390711,355.499390,17
20260712_035639,7.325,unlabeled,96.5,1,0.871986,141.202393,180.483780,0.782355,231.243286,271.356445,40.113159,0.222254,7.860054,355.567719,16
20260712_035639,7.423,unlabeled,88.7,1,0.858685,133.252930,180.034409,0.740153,230.826538,268.268402,37.441864,0.207971,6.974706,355.512909,16
20260712_035639,7.518,unlabeled,86.7,1,0.849949,127.464600,180.076721,0.707835,232.143463,273.474182,41.330719,0.229517,7.333544,356.289062,16
