session_id,t_rel,label,ms,n_persons,conf,bbox_w,bbox_h,aspect,sh_y,hip_y,sh_hip_gap,sh_hip_gap_norm,torso_angle,ank_y,kp_ok
20260712_040155,0.000,standing,102.0,1,0.884552,226.378113,451.847900,0.501005,24.714973,197.461639,172.746666,0.382312,6.798151,395.880768,12
20260712_040155,0.089,standing,78.7,1,0.871059,226.870850,450.921997,0.503127,26.949928,198.906769,171.956841,0.381345,4.299627,396.594910,12
20260712_040155,0.177,standing,77.4,1,0.880892,226.631470,452.373840,0.500983,15.748421,198.292084,182.543663,0.403524,7.728145,396.354187,12
20260712_040155,0.256,standing,69.9,1,0.878398,231.528625,448.585144,0.516131,26.238892,194.919479,168.680588,0.376028,7.126270,396.901733,12
20260712_040155,0.340,standing,73.6,1,0.876060,235.903198,453.324890,0.520384,14.844337,198.007263,183.162926,0.404043,8.223486,400.040314,12
20260712_040155,0.423,standing,74.2,1,0.885051,236.376434,451.460419,0.523582,15.178101,199.476135,184.298035,0.408226,8.245720,399.880371,12
20260712_040155,0.512,standing,78.5,1,0.876512,236.446442,452.107666,0.522987,13.999519,198.299149,184.299629,0.407645,8.194837,399.395691,12
20260712_040155,0.595,standing,72.3,1,0.880220,236.539001,451.038696,0.524432,15.683212,199.052460,183.369247,0.406549,8.461145,399.404358,12
20260712_040155,0.685,standing,79.8,1,0.885952,233.509949,451.978516,0.516639,17.893402,199.493729,181.600327,0.401790,8.671200,397.976410,12
20260712_040155,0.776,standing,81.6,1,0.887651,229.812775,451.319366,0.509202,25.206841,198.697327,173.490486,0.384407,8.446546,397.838379,12
20260712_040155,0.867,standing,81.5,1,0.886649,227.140747,451.758667,0.502792,25.649246,199.853699,174.204453,0.385614,7.532027,398.057434,12
20260712_040155,0.956,standing,79.4,1,0.881142,229.094009,451.734680,0.507143,26.593597,197.988724,171.395126,0.379415,6.345547,397.892609,12
20260712_040155,1.042,standing,75.1,1,0.894544,229.079285,451.326569,0.507569,24.467674,195.598831,171.131157,0.379174,7.615037,395.771851,12
20260712_040155,1.121,standing,68.9,1,0.901416,229.426208,451.894501,0.507699,24.577721,195.944412,171.366692,0.379218,8.404745,397.385620,12
20260712_040155,1.202,standing,72.0,1,0.898798,229.782654,451.747742,0.508653,24.206413,197.503006,173.296593,0.383614,8.260694,397.155273,12
20260712_040155,1.292,standing,77.6,1,0.893824,228.627258,451.926270,0.505895,26.026283,197.347977,171.321693,0.379092,7.877942,397.210358,12
20260712_040155,1.376,standing,74.7,1,0.894873,228.510986,450.939026,0.506745,26.047913,194.983185,168.935272,0.374630,8.182170,397.619110,12
20260712_040155,1.458,standing,73.1,1,0.893107,229.485352,451.332031,0.508462,27.417473,193.763168,166.345695,0.368566,8.541982,396.617310,12
20260712_040155,1.545,standing,77.6,1,0.893537,229.730286,450.033234,0.510474,26.518448,192.599594,166.081146,0.369042,9.744101,396.777466,12
20260712_040155,1.631,standing,75.8,1,0.899923,227.943665,450.328918,0.506172,24.760925,191.067795,166.306870,0.369301,9.820380,393.907715,12
20260712_040155,1.718,standing,77.3,1,0.903628,219.702637,449.080261,0.489228,24.030373,190.206238,166.175865,0.370036,10.605226,391.268066,12
20260712_040155,1.807,standing,78.8,1,0.886457,213.052490,447.779816,0.475797,21.864540,185.682724,163.818184,0.365845,9.568324,382.155975,12
20260712_040155,1.885,standing,67.1,1,0.907038,189.021057,444.856567,0.424903,14.922699,181.513184,166.590485,0.374481,8.753774,364.822693,12
20260712_040155,1.982,standing,89.1,1,0.901420,182.682800,445.046997,0.410480,15.889961,184.435165,168.545204,0.378713,7.701926,358.217834,12
20260712_040155,2.081,standing,90.1,1,0.900842,171.299561,447.684082,0.382635,23.983810,180.882111,156.898300,0.350467,5.701293,360.910889,12
20260712_040155,2.164,standing,73.6,1,0.904795,160.153320,444.194885,0.360547,23.801926,178.533173,154.731247,0.348341,5.203212,355.350586,12
20260712_040155,2.244,standing,70.8,1,0.901683,147.688049,441.511963,0.334505,14.002762,177.573746,163.570984,0.370479,5.480235,352.672180,12
20260712_040155,2.331,standing,77.7,1,0.864787,131.294571,436.723145,0.300636,10.769188,171.749008,160.979820,0.368608,4.414457,346.295380,12
20260712_040155,2.415,standing,76.0,1,0.885781,123.565735,397.396729,0.310938,13.801765,168.097046,154.295280,0.388265,4.734166,339.397949,12
20260712_040155,2.499,standing,74.9,1,0.873591,113.858505,380.307617,0.299385,15.563927,162.238647,146.674721,0.385674,1.808836,330.731689,12
20260712_040155,2.588,standing,81.1,1,0.798790,106.512024,356.143036,0.299071,19.494331,156.268265,136.773933,0.384042,0.357374,327.672791,12
20260712_040155,2.678,standing,80.1,1,0.805717,96.480286,282.126221,0.341976,116.941666,191.614090,74.672424,0.264677,10.892467,325.567749,13
20260712_040155,2.756,standing,69.1,1,0.819688,121.414932,280.950989,0.432157,111.374283,188.954544,77.580261,0.276135,7.478788,325.161407,13
20260712_040155,2.854,standing,88.3,2,0.846563,113.997803,350.898743,0.324874,16.957718,151.147766,134.190048,0.382418,1.649121,321.925903,10
20260712_040155,2.942,standing,78.9,2,0.818899,106.951172,348.977661,0.306470,,148.079773,,,,320.707733,9
20260712_040155,3.027,standing,76.6,1,0.905253,113.801941,348.425171,0.326618,16.852463,147.100708,130.248245,0.373820,1.226900,303.411255,12
20260712_040155,3.112,standing,75.6,1,0.873131,110.766785,343.511353,0.322455,19.539688,143.991943,124.452255,0.362294,4.100554,300.123230,13
20260712_040155,3.191,standing,67.0,1,0.858093,109.761108,322.999451,0.339818,18.161613,136.541748,118.380135,0.366503,3.492661,290.085266,13
20260712_040155,3.274,standing,74.2,1,0.882475,107.382812,306.541504,0.350304,16.027863,135.423264,119.395401,0.389492,3.709068,282.949097,11
20260712_040155,3.362,standing,77.8,1,0.886041,108.653931,302.020264,0.359757,11.992237,134.410217,122.417980,0.405330,4.159093,277.862000,12
20260712_040155,3.444,standing,70.5,1,0.881115,106.499390,299.627747,0.355439,11.318230,129.477127,118.158897,0.394352,4.420725,272.372620,10
20260712_040155,3.528,standing,75.2,2,0.884187,96.736572,300.706482,0.321698,9.041035,128.947754,119.906719,0.398750,5.268077,274.511536,12
20260712_040155,3.617,standing,79.8,1,0.858358,90.107483,300.564026,0.299795,,126.658546,,,,273.630066,11
20260712_040155,3.703,standing,76.6,2,0.835448,80.857178,301.157440,0.268488,18.264938,127.641083,109.376144,0.363186,4.086210,268.710388,13
20260712_040155,3.786,standing,73.5,2,0.780575,75.484375,300.572021,0.251136,,125.014496,,,,269.796143,9
20260712_040155,3.868,standing,74.3,2,0.860435,77.559326,297.431213,0.260764,,123.529877,,,,265.093262,11
20260712_040155,3.947,standing,69.9,1,0.891087,93.624817,292.683411,0.319884,10.215336,123.078400,112.863064,0.385615,4.990298,259.300995,12
20260712_040155,4.024,standing,68.7,1,0.910122,107.386108,283.067200,0.379366,11.628490,121.335136,109.706646,0.387564,4.009126,254.643707,12
20260712_040155,4.106,standing,72.0,1,0.918469,110.706177,277.467957,0.398987,12.271484,122.822891,110.551407,0.398429,3.546395,252.993713,12
20260712_040155,4.193,standing,76.2,1,0.915111,113.188110,272.881592,0.414788,13.328571,120.989326,107.660755,0.394533,4.001039,244.976807,12
20260712_040155,4.287,standing,83.6,1,0.911352,113.509277,272.026245,0.417273,13.959297,121.113197,107.153900,0.393910,4.308456,243.343292,12
20260712_040155,4.377,standing,81.6,1,0.912251,113.894409,272.370697,0.418160,14.336334,121.086708,106.750374,0.391930,3.252063,243.584946,12
20260712_040155,4.463,standing,75.8,1,0.914353,111.161011,271.391022,0.409597,12.873878,117.335609,104.461731,0.384912,1.987999,242.302689,12
20260712_040155,4.543,standing,69.1,1,0.909992,109.227295,270.940826,0.403141,14.276863,115.166756,100.889893,0.372369,2.812787,242.549423,12
20260712_040155,4.621,standing,69.2,2,0.911218,107.939758,272.011353,0.396821,15.525467,113.337296,97.811829,0.359587,2.842078,241.372864,12
20260712_040155,4.716,standing,84.3,1,0.909137,106.043457,269.730499,0.393146,14.042641,112.360443,98.317802,0.364504,3.029813,240.012634,12
20260712_040155,4.793,standing,69.7,1,0.918698,105.043945,268.688843,0.390950,13.066475,116.995644,103.929169,0.386801,1.554648,241.583252,12
20260712_040155,4.874,standing,70.4,1,0.917575,104.337891,268.690613,0.388320,12.283127,117.040375,104.757248,0.389881,1.494912,241.867157,12
20260712_040155,4.972,standing,89.8,1,0.917596,104.729431,268.700745,0.389762,13.380352,117.154602,103.774250,0.386208,0.381396,242.409943,12
20260712_040155,5.066,standing,86.1,1,0.914337,104.115845,269.962708,0.385668,12.603542,115.017204,102.413662,0.379362,0.995711,241.335999,12
20260712_040155,5.164,standing,88.9,1,0.914750,105.204224,269.652283,0.390148,12.720673,115.218674,102.498001,0.380112,2.340747,239.929871,12
20260712_040155,5.258,standing,85.1,1,0.915199,105.007202,268.586456,0.390962,13.371315,115.964340,102.593025,0.381974,1.154922,241.141083,12
20260712_040155,5.339,standing,72.4,1,0.918230,103.637085,268.371155,0.386171,14.139065,114.802048,100.662983,0.375089,1.137906,240.796783,12
20260712_040155,5.426,standing,78.7,1,0.917953,103.048706,268.060089,0.384424,14.339077,115.739952,101.400875,0.378277,0.544420,240.531464,12
20260712_040155,5.514,standing,76.0,1,0.919622,102.278320,268.129272,0.381452,14.251572,115.643303,101.391731,0.378145,0.185007,240.790894,12
20260712_040155,5.595,standing,72.5,1,0.918689,102.271973,268.487671,0.380919,13.536327,113.976532,100.440205,0.374096,0.792461,241.161392,12
20260712_040155,5.677,standing,72.2,1,0.917334,100.646118,268.812927,0.374410,13.979935,112.331078,98.351143,0.365872,0.161499,240.642303,12
20260712_040155,5.757,standing,69.6,1,0.918269,101.335327,268.648499,0.377204,13.488899,112.434532,98.945633,0.368309,0.039443,240.635712,12
20260712_040155,5.845,standing,78.2,1,0.918090,100.185303,269.432190,0.371839,14.083504,112.869247,98.785744,0.366644,0.392337,240.522903,12
20260712_040155,5.924,standing,72.0,1,0.917510,101.395874,269.001770,0.376934,12.776073,115.352936,102.576862,0.381324,0.246961,242.238815,12
20260712_040155,6.010,standing,77.3,1,0.917793,101.174316,268.819763,0.376365,13.276405,112.668625,99.392220,0.369736,0.563513,240.918076,12
20260712_040155,6.098,standing,80.1,1,0.918636,101.743591,268.874023,0.378406,12.686901,115.550003,102.863102,0.382570,0.282412,241.589355,12
20260712_040155,6.187,standing,78.9,1,0.916484,102.432312,269.301727,0.380363,12.762005,115.599182,102.837177,0.381866,0.260159,241.485565,12
20260712_040155,6.274,standing,78.4,1,0.920482,101.095947,268.875183,0.375996,13.862427,113.268936,99.406509,0.369712,0.427738,240.985519,12
20260712_040155,6.373,standing,88.8,1,0.920988,101.739258,269.508423,0.377499,14.083344,114.092468,100.009125,0.371080,0.553901,241.698837,12
20260712_040155,6.460,standing,75.6,1,0.920499,101.347778,269.261047,0.376392,14.496361,113.893463,99.397102,0.369148,0.251977,241.331024,12
20260712_040155,6.541,standing,71.1,1,0.921992,101.178162,269.378174,0.375599,14.291504,114.031418,99.739914,0.370260,0.350438,241.214264,12
20260712_040155,6.625,standing,74.0,1,0.919684,101.307007,269.221130,0.376297,14.009590,113.688873,99.679283,0.370251,0.090672,241.052917,12
20260712_040155,6.712,standing,77.5,1,0.919250,101.761719,268.852966,0.378503,13.914192,113.873428,99.959236,0.371799,0.391439,240.973297,12
20260712_040155,6.793,standing,71.2,1,0.918884,102.878540,269.323975,0.381988,12.530056,116.026154,103.496098,0.384281,0.253789,242.524506,12
20260712_040155,6.869,standing,67.5,1,0.918251,102.499634,269.123169,0.380865,13.683670,113.869080,100.185410,0.372266,0.738200,241.088440,12
20260712_040155,6.950,standing,70.6,1,0.917515,102.587341,268.906525,0.381498,12.121292,116.293968,104.172676,0.387394,0.252947,242.097076,12
20260712_040155,7.034,standing,74.2,1,0.920414,101.976929,268.926697,0.379200,13.307617,113.472504,100.164886,0.372462,0.301663,241.139359,12
20260712_040155,7.118,standing,74.7,1,0.918303,102.088501,269.101501,0.379368,11.843201,115.745399,103.902199,0.386108,0.294767,242.731232,12
20260712_040155,7.201,standing,73.2,1,0.916273,102.073242,269.207184,0.379162,11.944027,116.621468,104.677441,0.388836,0.725381,241.409668,12
20260712_040155,7.283,standing,71.6,1,0.919996,101.418335,268.868317,0.377204,13.618896,113.962799,100.343903,0.373208,0.448502,241.370773,12
20260712_040155,7.372,standing,80.0,1,0.917003,101.124023,268.929688,0.376024,14.050514,114.243149,100.192635,0.372561,0.134988,241.334030,12
20260712_040155,7.455,standing,73.4,1,0.916235,102.126709,269.390320,0.379103,13.109852,116.792816,103.682964,0.384880,0.324969,242.443329,12
20260712_040155,7.538,standing,73.6,1,0.916341,102.032227,269.601593,0.378456,12.750935,116.328735,103.577801,0.384188,0.203503,242.740952,12
20260712_040155,7.624,standing,77.1,1,0.917515,100.782593,269.757965,0.373604,13.994446,114.275452,100.281006,0.371744,0.776164,241.717361,12
20260712_040155,7.710,standing,77.0,2,0.917444,100.694214,269.288574,0.373927,13.808273,113.818420,100.010147,0.371387,0.186059,241.103973,12
20260712_040155,7.789,standing,69.2,1,0.919219,100.732666,268.844666,0.374687,14.006012,114.308273,100.302261,0.373086,0.219196,241.627701,12
20260712_040155,7.879,standing,83.1,2,0.917300,100.855347,269.097656,0.374791,13.985512,114.410103,100.424591,0.373190,0.193805,241.795395,12
20260712_040155,7.964,standing,75.4,1,0.917327,101.090942,269.699341,0.374828,13.867630,113.700470,99.832840,0.370163,0.057588,241.364883,12
20260712_040155,8.058,standing,83.3,1,0.918186,101.294678,269.296631,0.376145,13.341454,116.522339,103.180885,0.383150,0.263241,242.626709,12
20260712_040155,8.147,standing,80.8,1,0.918315,101.399841,269.244873,0.376608,13.895035,113.575821,99.680786,0.370224,0.385551,240.796707,12
20260712_040155,8.226,standing,71.0,1,0.919126,100.973938,269.033020,0.375322,13.950928,113.952194,100.001266,0.371706,0.256085,241.427795,12
20260712_040155,8.310,standing,74.3,1,0.918015,100.731934,269.427124,0.373875,13.846413,113.962677,100.116264,0.371589,0.315868,241.964554,12
20260712_040155,8.391,standing,71.2,1,0.917471,100.828369,269.447021,0.374205,13.958282,114.725906,100.767624,0.373979,0.485864,242.501877,12
20260712_040155,8.477,standing,75.5,1,0.918314,100.843628,269.394348,0.374335,13.840897,113.395302,99.554405,0.369549,0.466618,241.884583,12
20260712_040155,8.560,standing,72.9,1,0.919763,100.931885,269.258606,0.374851,14.028824,113.912056,99.883232,0.370957,0.511766,242.164307,12
20260712_040155,8.644,standing,76.1,1,0.917468,100.856262,269.329102,0.374472,14.886917,113.991646,99.104729,0.367969,0.308348,241.118622,12
20260712_040155,8.720,standing,67.5,1,0.919347,100.506226,269.558502,0.372855,14.461601,113.909805,99.448204,0.368930,0.460084,241.489685,12
20260712_040155,8.794,standing,65.3,1,0.918307,100.426636,269.128815,0.373155,14.471519,114.098747,99.627228,0.370184,0.141599,241.196014,12
20260712_040155,8.880,standing,76.2,1,0.919009,101.005127,269.401062,0.374925,12.977295,115.734795,102.757500,0.381429,0.082868,243.051025,12
20260712_040155,8.958,standing,68.8,1,0.919742,100.918945,269.497864,0.374470,13.702877,116.355339,102.652462,0.380903,0.080330,242.933029,12
20260712_040155,9.039,standing,70.9,1,0.916697,100.206909,269.677307,0.371581,14.970390,114.504013,99.533623,0.369084,0.428632,241.499847,12
20260712_040155,9.116,standing,69.8,1,0.917641,100.338623,270.090057,0.371501,14.396301,114.361313,99.965012,0.370117,0.287766,241.646210,12
20260712_040155,9.200,standing,74.1,1,0.920930,100.688110,269.651855,0.373400,14.036446,113.816566,99.780121,0.370033,0.462251,241.840668,12
20260712_040155,9.289,standing,78.2,1,0.917832,100.390076,270.432556,0.371220,14.357880,113.964104,99.606224,0.368322,0.394090,241.892975,12
20260712_040155,9.383,standing,86.3,1,0.917560,100.447571,270.467712,0.371385,13.942299,113.187859,99.245560,0.366941,0.146654,241.920181,12
20260712_040155,9.472,standing,80.2,1,0.917411,100.393555,270.155334,0.371614,14.243256,113.038605,98.795349,0.365698,0.076705,241.627106,12
20260712_040155,9.560,standing,77.0,1,0.918703,100.384521,270.495972,0.371113,14.918884,114.256004,99.337120,0.367241,0.225726,241.597549,12
