t_rel,label,ms,n_persons,conf,bbox_w,bbox_h,aspect,sh_y,hip_y,sh_hip_gap,sh_hip_gap_norm,torso_angle,ank_y,kp_ok
0.000,standing,71.1,1,0.899776,82.933777,238.229813,0.348125,294.711243,374.381561,79.670319,0.334426,0.934642,480.000000,17
0.085,standing,76.1,1,0.898696,83.170532,238.269348,0.349061,294.898315,374.353577,79.455261,0.333468,0.852335,480.000000,17
0.172,standing,78.0,1,0.896819,81.983215,238.528381,0.343704,294.920044,374.843231,79.923187,0.335068,0.939909,480.000000,17
0.253,standing,70.3,1,0.897484,82.902206,238.770203,0.347205,294.664612,374.690735,80.026123,0.335160,1.210586,480.000000,17
0.334,standing,71.0,1,0.901954,82.527954,238.283447,0.346344,294.588196,374.268982,79.680786,0.334395,1.034116,480.000000,17
0.416,standing,72.7,1,0.902983,83.573181,238.293442,0.350715,294.509369,374.341431,79.832062,0.335016,0.789670,480.000000,17
0.500,standing,75.7,1,0.896952,83.329849,238.217407,0.349806,294.798767,374.636261,79.837494,0.335146,0.662698,480.000000,17
0.602,standing,93.4,1,0.903057,83.346664,238.250031,0.349829,294.549438,374.510315,79.960876,0.335617,0.929935,480.000000,17
0.699,standing,86.6,1,0.907704,83.318359,238.165100,0.349834,294.850494,374.396332,79.545837,0.333995,0.330553,480.000000,17
0.795,standing,88.3,1,0.901283,83.400284,238.599426,0.349541,294.740295,374.616211,79.875916,0.334770,0.652442,480.000000,17
0.897,standing,92.6,1,0.900239,82.818665,238.781616,0.346839,294.308594,373.923584,79.614990,0.333422,0.845795,480.000000,17
0.982,standing,76.7,1,0.900584,82.733948,238.730988,0.346557,294.250427,374.371704,80.121277,0.335613,0.749857,480.000000,17
1.068,standing,76.9,1,0.894161,83.582901,238.510864,0.350436,294.529236,374.814850,80.285614,0.336612,0.494673,480.000000,17
1.156,standing,78.8,1,0.902813,82.782410,238.413147,0.347223,294.598145,374.806732,80.208588,0.336427,0.891386,480.000000,17
1.243,standing,77.6,1,0.896386,83.005371,238.371506,0.348219,294.443207,374.941956,80.498749,0.337703,0.798549,480.000000,17
1.338,standing,85.7,1,0.898829,83.317200,238.363846,0.349538,294.521729,375.103394,80.581665,0.338062,0.246649,480.000000,17
1.422,standing,74.3,1,0.900777,83.209839,238.597397,0.348746,294.363220,375.146210,80.782990,0.338574,0.318889,480.000000,17
1.510,standing,78.1,1,0.898506,83.338013,238.539734,0.349367,294.440521,374.843323,80.402802,0.337063,0.221754,480.000000,17
1.597,standing,76.9,1,0.886668,83.705872,238.475754,0.351004,294.342712,375.308350,80.965637,0.339513,0.491209,480.000000,17
1.689,standing,81.4,1,0.877022,84.104263,238.657471,0.352406,294.658997,374.788696,80.129700,0.335752,0.484572,480.000000,17
1.769,standing,71.3,1,0.889739,83.676941,238.904297,0.350253,294.296051,375.317932,81.021881,0.339139,0.395745,480.000000,17
1.849,standing,71.9,1,0.893729,83.313858,238.498764,0.349326,294.764801,375.154205,80.389404,0.337064,0.197083,480.000000,17
1.936,standing,77.9,1,0.896822,83.103943,238.829285,0.347964,294.458130,374.507812,80.049683,0.335175,0.451464,480.000000,17
2.035,standing,89.6,1,0.902390,83.480698,238.891174,0.349451,294.320709,374.226196,79.905487,0.334485,0.364557,480.000000,17
2.168,standing,125.2,1,0.893416,83.436279,238.759003,0.349458,294.312408,374.500366,80.187958,0.335853,0.530226,480.000000,17
2.259,standing,80.6,1,0.895486,84.060608,239.183777,0.351448,294.521667,374.588989,80.067322,0.334752,0.062785,480.000000,17
2.340,standing,74.4,1,0.889336,83.645996,239.090637,0.349851,294.077148,374.613647,80.536499,0.336845,0.167782,480.000000,17
2.443,standing,95.1,1,0.886813,83.448624,239.155396,0.348931,294.387451,373.959412,79.571960,0.332721,0.172760,480.000000,17
2.532,standing,80.5,1,0.902581,83.133057,239.244843,0.347481,294.554749,374.235504,79.680756,0.333051,0.196378,480.000000,17
2.620,standing,77.7,1,0.895007,83.401260,239.445587,0.348310,294.581482,375.258423,80.676941,0.336932,0.276938,480.000000,17
2.705,standing,78.3,1,0.896581,82.754395,239.189026,0.345979,293.840454,374.125977,80.285522,0.335657,0.500836,480.000000,17
2.782,standing,69.3,1,0.897817,83.118103,243.759476,0.340984,290.354584,371.133728,80.779144,0.331389,0.618786,480.000000,17
2.880,standing,87.7,1,0.892669,82.702820,243.050308,0.340270,290.154480,370.989746,80.835266,0.332587,0.314292,480.000000,17
2.960,standing,72.2,1,0.898310,81.904114,253.782471,0.322734,279.201416,358.224731,79.023315,0.311382,0.034341,471.543427,17
3.045,standing,76.2,1,0.891117,88.545776,270.419556,0.327439,255.111206,332.523315,77.412109,0.286267,0.469669,444.877747,17
3.144,standing,90.4,1,0.896418,87.373550,268.312119,0.325641,256.486877,333.511536,77.024658,0.287071,0.688190,446.496643,17
3.228,standing,75.5,1,0.898776,81.545898,259.718857,0.313978,235.007843,311.831451,76.823608,0.295795,0.274282,418.965698,17
3.314,standing,76.1,1,0.890288,83.555176,256.659485,0.325549,208.926788,285.820801,76.894012,0.299595,1.633047,391.231110,17
3.425,standing,102.1,1,0.885419,83.624390,261.882935,0.319320,208.658371,286.898346,78.239975,0.298759,0.956819,392.584473,17
3.512,standing,77.6,1,0.880015,85.863831,265.426575,0.323494,224.536835,303.071503,78.534668,0.295881,0.405629,413.708221,17
3.619,standing,98.3,1,0.899773,83.933838,261.128235,0.321428,221.004181,298.297394,77.293213,0.295997,0.804205,403.988098,17
3.707,standing,78.8,1,0.905186,85.406738,262.449585,0.325422,221.900955,298.644470,76.743515,0.292412,0.272974,406.516602,17
3.792,standing,75.2,1,0.903632,80.645752,261.633972,0.308239,220.959259,298.785065,77.825806,0.297461,0.080770,404.136169,17
3.901,standing,100.2,1,0.871336,80.296997,275.049545,0.291936,241.921997,321.005127,79.083130,0.287523,0.039687,431.188171,17
3.986,standing,77.5,1,0.873598,86.947998,271.203003,0.320601,250.800583,328.341064,77.540482,0.285913,0.654504,439.378967,17
4.088,standing,92.9,1,0.886596,88.712891,267.692810,0.331398,247.385864,324.719879,77.334015,0.288891,0.073392,435.089264,17
4.176,standing,79.9,1,0.895973,80.708801,265.187683,0.304346,252.561874,331.160614,78.598740,0.296389,0.203753,440.812805,17
4.267,standing,82.7,1,0.888493,87.823181,269.016205,0.326461,265.525787,343.214630,77.688843,0.288789,0.115100,457.828247,17
4.348,standing,72.7,1,0.881969,85.542480,269.534729,0.317371,262.780121,339.583984,76.803864,0.284950,0.378914,450.915588,17
4.445,standing,89.7,1,0.887930,89.797546,270.513916,0.331952,259.629700,335.181305,75.551605,0.279289,0.784030,449.326141,17
4.533,standing,77.8,1,0.896437,83.110733,268.541321,0.309490,266.483582,345.910126,79.426544,0.295770,0.717984,461.382172,17
4.624,standing,81.2,1,0.903281,86.484741,263.746582,0.327908,269.094513,346.319641,77.225128,0.292800,0.445585,460.506012,17
4.710,standing,76.8,1,0.910914,86.323975,264.948425,0.325814,264.475372,341.215759,76.740387,0.289643,0.884534,454.365356,17
4.794,standing,74.9,1,0.905523,89.581406,267.284668,0.335154,267.337280,344.177673,76.840393,0.287485,1.066374,458.514526,17
4.876,standing,73.3,1,0.902293,92.154907,264.185562,0.348826,255.743546,331.997620,76.254074,0.288638,0.899871,441.936829,17
4.962,standing,75.6,1,0.897001,96.483154,271.396362,0.355506,255.676636,334.568573,78.891937,0.290689,1.450474,446.510986,17
5.051,standing,81.8,1,0.882760,102.564346,264.166199,0.388257,270.113220,348.005981,77.892761,0.294863,3.231244,462.731995,17
5.146,standing,85.5,1,0.898000,115.215088,263.717392,0.436888,265.753082,344.915222,79.162140,0.300178,0.401773,456.233276,17
5.240,standing,85.4,1,0.904423,127.884415,270.462769,0.472836,262.609924,341.373352,78.763428,0.291217,1.390120,458.034729,17
5.320,standing,71.7,1,0.914319,142.420181,262.364014,0.542834,271.823181,347.936859,76.113678,0.290107,1.348334,462.832245,17
5.400,standing,72.0,1,0.917457,149.180435,268.407410,0.555798,265.409973,341.805298,76.395325,0.284624,0.550140,456.017517,17
5.490,standing,82.6,1,0.914239,152.311707,270.150742,0.563803,263.242249,339.715454,76.473206,0.283076,1.398372,454.944580,17
5.580,standing,80.7,1,0.918879,153.817017,261.682495,0.587800,272.194977,347.319366,75.124390,0.287082,0.955797,462.659424,17
5.672,standing,83.6,1,0.921088,154.153564,267.999817,0.575200,266.447632,341.677063,75.229431,0.280707,2.009522,458.008331,17
5.755,standing,73.7,1,0.915137,153.979004,267.397614,0.575843,266.216736,342.191895,75.975159,0.284128,0.289888,459.808380,17
5.838,standing,73.7,1,0.917854,149.067505,262.980469,0.566839,269.611816,345.872894,76.261078,0.289988,0.718990,461.245514,17
5.932,standing,85.4,1,0.902283,148.105957,266.926941,0.554856,264.003479,340.237946,76.234467,0.285600,0.016009,453.697144,17
6.028,standing,80.0,1,0.823096,123.490128,264.085327,0.467614,241.414368,316.192108,74.777740,0.283157,0.683453,424.936615,17
6.118,standing,80.5,1,0.913033,147.813095,263.728027,0.560475,219.742188,296.134827,76.392639,0.289664,1.379533,405.051666,17
6.217,standing,92.3,1,0.884962,146.883545,253.186417,0.580140,213.345444,288.144897,74.799454,0.295432,0.160898,389.979980,17
6.316,standing,88.7,1,0.839179,123.812317,255.325439,0.484920,195.893677,270.807678,74.914001,0.293406,1.354569,377.539459,17
6.409,standing,85.0,1,0.908675,146.447403,261.678360,0.559647,187.665314,263.763672,76.098358,0.290809,0.088232,368.666321,17
6.498,standing,78.8,1,0.905576,147.127258,260.029053,0.565811,184.311737,260.298950,75.987213,0.292226,0.449645,365.235474,17
6.581,standing,74.9,1,0.895553,146.227112,256.374084,0.570366,179.662064,257.122192,77.460129,0.302137,0.410578,363.331665,17
6.675,standing,86.6,1,0.901627,146.401260,258.028931,0.567383,175.074768,252.159592,77.084824,0.298745,1.444521,360.176819,17
6.763,standing,81.1,1,0.902999,142.974548,261.150940,0.547479,171.591888,249.598938,78.007050,0.298705,0.043978,356.453430,17
6.850,standing,76.8,1,0.811587,108.368469,268.137787,0.404152,180.570740,260.820740,80.250000,0.299286,0.800981,364.752533,17
6.931,standing,72.9,1,0.873466,119.158081,261.768982,0.455203,208.167587,284.016968,75.849380,0.289757,0.531579,391.231689,17
7.016,standing,77.2,1,0.882280,136.503281,261.138077,0.522725,209.399338,284.515045,75.115707,0.287647,0.096673,391.483429,17
7.100,standing,76.9,1,0.823112,122.506119,265.402832,0.461586,213.260773,290.156006,76.895233,0.289730,0.610067,402.809479,17
7.222,standing,112.4,1,0.864493,129.205994,267.560562,0.482904,227.015808,304.266663,77.250854,0.288723,0.516549,415.504883,17
7.314,standing,83.0,1,0.895606,128.375000,262.422867,0.489191,231.862503,308.073059,76.210556,0.290411,0.547206,421.137024,17
7.405,standing,80.9,1,0.906948,129.302612,263.592834,0.490539,231.378723,308.693634,77.314911,0.293312,0.165863,419.091858,17
7.483,standing,68.2,1,0.885095,125.885376,262.760620,0.479088,236.890060,313.485443,76.595383,0.291503,0.896707,424.687195,17
7.583,standing,90.1,1,0.899854,128.128891,267.958633,0.478167,242.059875,317.151978,75.092102,0.280238,0.790456,429.546021,17
7.676,standing,84.9,1,0.902352,127.690308,266.766602,0.478659,242.590988,317.550201,74.959213,0.280992,0.146093,429.172180,17
7.766,standing,81.8,1,0.901419,127.275330,266.556458,0.477480,240.955490,315.614685,74.659195,0.280088,0.562299,428.354797,17
7.850,standing,75.8,1,0.902786,125.699768,266.180908,0.472234,242.405167,316.489471,74.084305,0.278323,0.844272,426.688599,17
7.932,standing,73.7,1,0.903609,122.793152,264.955078,0.463449,241.988770,316.158417,74.169647,0.279933,0.608087,426.606873,17
8.037,standing,95.8,1,0.904694,120.961426,264.747665,0.456893,241.950378,316.910217,74.959839,0.283137,0.522259,427.701782,17
8.150,standing,103.4,1,0.902389,120.561951,265.846497,0.453502,242.209167,317.447388,75.238220,0.283014,0.733411,428.638306,17
8.239,standing,80.5,1,0.907218,115.318420,264.681412,0.435688,242.264496,316.788513,74.524017,0.281561,0.827328,426.940979,17
8.373,standing,120.8,1,0.900396,106.663025,265.338257,0.401989,241.218887,316.919373,75.700485,0.285298,1.308273,425.950409,17
8.473,standing,91.2,1,0.899978,93.029541,266.787964,0.348702,242.112976,318.383118,76.270142,0.285883,0.362218,428.240417,17
8.567,standing,84.2,1,0.896986,86.861877,265.603699,0.327036,241.204346,317.782593,76.578247,0.288318,0.099872,428.731903,17
8.657,standing,81.0,1,0.891258,85.181763,265.069397,0.321356,242.662994,318.970459,76.307465,0.287877,0.297974,429.303741,17
8.742,standing,76.3,1,0.885621,87.784790,267.064392,0.328703,242.054733,317.384766,75.330032,0.282067,0.413669,428.897797,17
8.832,standing,81.1,1,0.884460,83.573425,263.146500,0.317593,243.009552,319.920135,76.910583,0.292273,0.727285,428.406738,17
8.919,standing,77.4,1,0.898381,86.953003,265.761230,0.327185,243.406464,320.793762,77.387299,0.291191,0.888232,429.883301,17
8.999,standing,73.0,1,0.899203,83.888611,263.899109,0.317881,242.581436,319.794006,77.212570,0.292584,0.716607,428.767395,17
9.091,standing,83.8,1,0.880256,85.843384,265.725235,0.323053,242.633209,318.749329,76.116119,0.286447,0.014472,429.147766,17
9.182,standing,79.3,1,0.888200,85.918274,266.274475,0.322668,243.423187,319.792999,76.369812,0.286809,1.094800,429.218079,17
9.299,standing,108.8,1,0.894728,82.789551,263.770401,0.313870,243.262390,319.509949,76.247559,0.289068,0.010778,428.266327,17
9.395,standing,88.8,1,0.890480,82.515808,264.048401,0.312503,243.091156,319.693298,76.602142,0.290106,0.700658,427.312561,17
9.483,standing,79.5,1,0.890412,82.463257,264.467590,0.311809,243.344849,320.699585,77.354736,0.292492,0.394231,429.154114,17
9.573,standing,83.4,1,0.895044,84.967163,265.293640,0.320276,242.863205,319.493652,76.630447,0.288851,0.787069,427.943573,17
9.656,standing,74.6,1,0.895258,84.411011,264.680359,0.318917,243.402405,320.245117,76.842712,0.290323,0.552011,428.703064,17
9.749,standing,85.5,1,0.890158,83.560547,264.584106,0.315818,243.356796,319.414978,76.058182,0.287463,0.344468,428.735077,17
9.855,standing,97.3,1,0.893563,84.145996,265.290039,0.317185,243.807037,319.989227,76.182190,0.287166,0.949526,428.628906,17
9.954,standing,91.1,1,0.894083,83.395081,264.657333,0.315106,243.611603,319.631775,76.020172,0.287240,0.647768,427.949707,17
10.036,standing,72.4,1,0.893095,83.718994,265.265564,0.315604,243.488617,320.087830,76.599213,0.288764,0.743889,428.942810,17
10.121,standing,77.6,1,0.894719,85.099304,265.810410,0.320150,243.401520,320.181824,76.780304,0.288854,0.871984,429.035400,17
10.199,standing,68.4,1,0.891177,82.630493,263.714859,0.313333,243.492035,320.246338,76.754303,0.291050,0.696103,428.834290,17
10.287,standing,79.4,1,0.896036,85.389893,265.710953,0.321364,243.482025,320.093628,76.611603,0.288327,0.739411,429.245453,17
10.367,standing,70.3,1,0.895642,84.521118,265.575867,0.318256,243.448151,320.188141,76.739990,0.288957,0.904061,429.581848,17
10.466,standing,88.7,1,0.894598,84.724854,265.244873,0.319421,243.567261,320.338348,76.771088,0.289435,1.008753,429.439270,17
10.570,standing,95.1,1,0.895910,84.589722,265.169327,0.319003,243.241516,320.021912,76.780396,0.289552,1.026525,429.540466,17
10.668,standing,88.2,1,0.896158,84.505493,265.695923,0.318053,243.593994,320.534973,76.940979,0.289583,1.125385,429.217712,17
10.785,standing,107.5,1,0.892255,84.314575,266.069458,0.316889,243.516998,320.494263,76.977264,0.289313,0.867324,429.947327,17
10.892,standing,99.5,1,0.893971,82.981689,264.340088,0.313920,243.321533,320.406677,77.085144,0.291614,1.094053,428.507629,17
10.997,standing,96.0,1,0.893501,83.696350,265.201538,0.315595,243.285736,320.346283,77.060547,0.290574,1.098395,428.620605,17
11.084,standing,77.9,1,0.894443,84.490723,265.957886,0.317685,243.198578,319.622070,76.423492,0.287352,1.319134,428.606201,17
11.160,standing,68.6,1,0.893315,83.100464,265.905273,0.312519,243.369781,320.015991,76.646210,0.288246,1.221313,429.778046,17
11.254,standing,85.1,1,0.894648,83.874756,266.201355,0.315080,243.507843,319.937836,76.429993,0.287113,0.924652,430.378052,17
11.347,standing,83.6,1,0.887693,85.154053,266.059143,0.320057,243.227356,320.330139,77.102783,0.289796,1.045584,430.250244,17
11.432,standing,75.7,1,0.886822,85.281738,265.646912,0.321034,243.060013,319.710693,76.650681,0.288543,0.698641,430.176727,17
11.524,standing,83.7,1,0.888624,85.673218,265.740219,0.322395,243.631561,320.315430,76.683868,0.288567,1.360144,430.380768,17
11.610,standing,76.6,1,0.889850,85.097351,265.746231,0.320220,243.270279,320.015900,76.745621,0.288793,0.729372,430.100983,17
11.693,standing,75.2,1,0.893091,85.858459,265.807388,0.323010,243.306335,319.758484,76.452148,0.287622,0.321836,430.014740,17
11.792,standing,89.4,1,0.893691,84.907227,265.139465,0.320236,243.017914,320.110962,77.093048,0.290764,0.051485,429.230103,17
11.883,standing,81.0,1,0.887945,85.920654,265.842880,0.323201,242.843521,319.080475,76.236954,0.286774,0.239284,429.819641,17
11.985,standing,93.6,1,0.880895,86.282043,265.389389,0.325115,243.216537,318.905640,75.689102,0.285200,0.307870,430.739044,17
12.091,standing,95.9,1,0.894890,85.870483,266.045166,0.322767,243.087067,319.398895,76.311829,0.286838,0.695328,428.623474,17
12.176,standing,75.8,1,0.893016,84.291626,265.747253,0.317187,243.459686,320.332855,76.873169,0.289272,0.981401,427.665466,17
12.266,standing,80.0,1,0.891800,85.040161,267.294296,0.318152,243.400452,321.022156,77.621704,0.290398,0.830598,429.125916,17
12.375,standing,98.2,1,0.888404,85.457275,265.600845,0.321751,243.196289,320.059937,76.863647,0.289395,0.758935,428.900330,17
12.493,standing,110.0,1,0.886688,84.731934,265.297241,0.319385,243.042480,319.269318,76.226837,0.287326,0.172703,428.606873,17
12.589,standing,86.6,1,0.893119,83.935059,264.420227,0.317431,242.904541,319.209229,76.304688,0.288574,0.846101,428.492493,17
12.667,standing,69.8,1,0.887653,85.669617,266.725342,0.321190,243.231995,319.968231,76.736237,0.287698,0.464943,430.257782,17
12.765,standing,90.0,1,0.889177,84.105835,265.292236,0.317031,243.163177,320.441650,77.278473,0.291296,0.881995,430.333740,17
12.853,standing,80.5,1,0.882838,84.508911,265.122299,0.318754,242.447403,319.607422,77.160019,0.291036,0.699218,429.924225,17
12.939,standing,76.0,1,0.893567,83.778931,264.882202,0.316288,243.210602,318.630371,75.419769,0.284729,0.281242,428.426514,17
13.046,standing,98.9,1,0.879864,82.625610,261.087158,0.316468,243.437057,318.907562,75.470505,0.289062,0.697588,427.727173,17
13.143,standing,87.5,1,0.883260,82.341309,262.976990,0.313112,243.168121,319.403442,76.235321,0.289894,1.002175,427.281921,17
13.232,standing,78.8,1,0.894907,80.932190,261.322861,0.309702,242.894806,319.310852,76.416046,0.292420,1.489103,427.999512,17
13.309,standing,69.7,1,0.898523,80.590637,263.385315,0.305980,242.679306,319.882843,77.203537,0.293120,2.389413,428.390289,17
13.393,standing,75.2,1,0.897611,79.903198,262.364990,0.304550,242.882935,319.698730,76.815796,0.292782,1.686860,427.665558,17
13.481,standing,77.7,1,0.892587,79.365723,263.338852,0.301383,242.937546,319.644775,76.707230,0.291287,2.021723,428.828339,17
13.560,standing,71.9,1,0.897078,79.687866,262.128296,0.304003,242.250763,319.360046,77.109283,0.294166,0.432536,432.141357,17
13.641,standing,73.5,1,0.887930,81.313110,252.058578,0.322596,242.188660,319.262024,77.073364,0.305776,1.021240,427.792969,17
13.730,standing,79.4,1,0.894095,80.596680,257.452942,0.313054,241.733612,320.125916,78.392303,0.304492,1.419056,431.914581,17
13.824,standing,86.8,1,0.891795,80.150024,260.375916,0.307824,242.100220,320.659119,78.558899,0.301713,1.091289,433.674622,17
13.914,standing,82.0,1,0.891481,80.310364,260.401245,0.308410,242.006393,320.460815,78.454422,0.301283,1.174860,428.515747,17
14.037,standing,115.4,1,0.882062,80.404663,264.615723,0.303854,241.946106,320.914612,78.968506,0.298427,1.760960,432.576721,17
14.137,standing,92.6,1,0.886591,81.595886,261.867126,0.311593,242.206268,320.672699,78.466431,0.299642,1.502184,429.528687,17
14.234,standing,78.7,1,0.895272,80.197693,262.672012,0.305315,241.399277,319.349915,77.950638,0.296760,1.985333,431.798645,17
14.316,standing,72.6,1,0.897223,80.168945,261.307495,0.306799,241.388504,319.455566,78.067062,0.298756,1.539230,430.948486,17
14.397,standing,71.1,1,0.897174,81.223145,262.742432,0.309136,242.058807,319.788147,77.729340,0.295839,2.303627,428.806152,17
14.472,standing,67.5,1,0.893030,81.374695,264.845596,0.307253,242.352341,320.674927,78.322586,0.295729,1.706509,429.427734,17
14.572,standing,89.2,1,0.891824,80.901123,263.665100,0.306833,241.868271,320.830872,78.962601,0.299481,1.870770,432.290100,17
14.664,standing,82.9,1,0.891728,81.433899,259.412598,0.313917,242.448212,320.975952,78.527740,0.302714,2.110588,429.607788,17
14.750,standing,77.6,1,0.888827,81.450806,257.103012,0.316802,242.230286,320.893066,78.662781,0.305958,2.351795,429.923309,17
14.852,standing,93.6,1,0.898736,80.851379,264.022339,0.306229,241.527176,320.098145,78.570969,0.297592,1.297505,432.800201,17
14.953,standing,91.3,1,0.895806,80.548218,263.718567,0.305432,241.933685,321.055328,79.121643,0.300023,1.432086,433.748779,17
0.000,standing,98.0,1,0.516250,79.998535,183.503235,0.435952,255.297745,328.185669,72.887924,0.397202,5.462444,428.465851,17
0.088,standing,78.7,1,0.676067,79.392349,174.720032,0.454398,256.642334,328.616547,71.974213,0.411940,5.338659,420.169250,17
0.187,standing,89.3,1,0.825370,79.301285,207.093445,0.382925,259.226166,325.837769,66.611603,0.321650,6.650677,410.478790,17
0.292,standing,94.8,1,0.746124,78.241882,179.379135,0.436182,266.097290,337.086243,70.988953,0.395748,5.997932,432.415833,17
0.399,standing,96.6,1,0.597966,79.544250,160.955551,0.494200,272.017883,341.885376,69.867493,0.434079,5.346821,430.535492,17
0.488,standing,80.7,1,0.582042,82.719864,158.736572,0.521114,279.908966,351.308685,71.399719,0.449800,4.333595,,16
0.577,standing,78.8,1,0.737414,84.580826,166.992172,0.506496,285.300964,355.765076,70.464111,0.421961,5.100027,,16
0.669,standing,83.7,1,0.645469,91.752625,170.145874,0.539259,291.778931,360.251038,68.472107,0.402432,4.038869,,15
0.756,standing,77.3,1,0.603842,96.969360,147.424438,0.657756,295.653076,366.850586,71.197510,0.482942,3.368852,,15
0.843,standing,80.1,1,0.662033,98.241638,167.614365,0.586117,298.963562,370.617126,71.653564,0.427491,4.620048,,15
0.934,standing,81.7,1,0.767119,94.253418,183.870361,0.512608,301.946655,369.495728,67.549072,0.367373,3.444363,450.940826,17
1.020,standing,78.0,2,0.546409,85.915039,126.307129,0.680207,303.245667,372.815765,69.570099,0.550801,2.452269,,15
1.101,standing,71.8,1,0.502180,74.843262,162.845337,0.459597,305.240540,372.515625,67.275085,0.413123,0.267235,463.175140,17
1.184,standing,74.1,1,0.520141,72.340942,175.926697,0.411199,305.896973,374.866760,68.969788,0.392037,1.364192,471.238647,17
1.284,standing,92.1,1,0.450235,75.208252,167.554443,0.448859,305.996155,372.815979,66.819824,0.398795,2.135612,467.469666,17
1.372,standing,80.9,1,0.778143,77.390991,186.949341,0.413968,307.682068,375.152649,67.470581,0.360903,4.113908,453.551819,17
1.472,standing,91.4,1,0.594364,80.331421,174.704102,0.459814,306.419800,372.511444,66.091644,0.378306,5.785679,453.556946,17
1.577,standing,95.9,1,0.698732,83.280151,177.959961,0.467971,306.284698,373.797302,67.512604,0.379370,4.860738,457.810547,17
1.660,standing,73.4,1,0.671394,85.303650,171.445374,0.497556,306.622559,373.866455,67.243896,0.392218,5.699373,451.074463,17
1.755,standing,86.3,1,0.765966,88.010864,184.729736,0.476430,306.785095,374.860291,68.075195,0.368512,7.112851,440.331360,17
1.843,standing,78.1,1,0.661639,87.781372,196.375244,0.447008,306.978394,378.544189,71.565796,0.364434,4.829164,471.539154,17
1.939,standing,88.1,1,0.848171,91.679565,187.208496,0.489719,306.302124,372.903961,66.601837,0.355763,6.777517,437.406067,17
2.038,standing,89.1,1,0.730429,93.717529,200.649719,0.467070,306.390106,377.555969,71.165863,0.354677,7.280870,457.423218,17
2.143,standing,96.7,1,0.742854,94.874878,205.803238,0.460998,306.675232,379.182465,72.507233,0.352313,6.699308,470.304169,17
2.234,standing,81.9,1,0.871757,93.168701,187.983292,0.495622,306.854858,376.089050,69.234192,0.368300,7.585095,444.320282,17
2.320,standing,78.3,1,0.784498,93.045532,203.388977,0.457476,307.077118,378.120728,71.043610,0.349299,7.038860,465.057770,17
2.399,standing,69.9,1,0.669822,93.100830,180.717834,0.515172,306.220825,378.157043,71.936218,0.398058,7.569443,469.897644,17
2.505,standing,97.3,1,0.763961,91.656494,184.980850,0.495492,306.618378,375.729309,69.110931,0.373611,7.860356,448.201019,17
2.598,standing,82.9,1,0.855801,92.445068,187.735229,0.492423,307.437073,377.909546,70.472473,0.375382,8.151895,447.264160,17
2.679,standing,71.8,1,0.856216,90.946716,188.319153,0.482939,306.960754,378.627258,71.666504,0.380559,7.605149,458.516052,17
2.767,standing,77.8,1,0.872000,87.575684,187.359482,0.467421,307.117798,378.510986,71.393188,0.381049,6.412405,452.124695,17
2.873,standing,97.4,1,0.845137,88.495056,188.638062,0.469126,307.195404,380.644653,73.449249,0.389366,5.300833,461.720367,17
2.984,standing,102.1,1,0.793941,87.994446,208.341415,0.422357,306.605652,377.832001,71.226349,0.341873,5.756904,467.662659,17
3.083,standing,90.7,1,0.775315,84.025879,208.520615,0.402962,308.015717,379.064087,71.048370,0.340726,4.708636,469.950226,17
3.173,standing,81.4,1,0.855794,85.073792,187.876526,0.452818,307.190308,378.467957,71.277649,0.379386,5.179353,459.734283,17
3.266,standing,82.3,1,0.847544,87.212952,187.000122,0.466379,307.117371,376.237976,69.120605,0.369629,6.210034,443.483887,17
3.345,standing,71.3,1,0.853048,87.834595,188.717590,0.465429,307.377930,378.099609,70.721680,0.374749,6.899825,443.247131,17
3.454,standing,100.9,1,0.864496,84.475586,187.437485,0.450687,306.375458,377.663635,71.288177,0.380330,5.433005,461.854431,17
3.581,standing,119.5,1,0.821740,87.438232,188.452881,0.463979,306.877319,377.946899,71.069580,0.377121,5.986991,457.282593,17
3.670,standing,82.2,1,0.751888,85.334595,203.440552,0.419457,307.352722,379.095703,71.742981,0.352648,3.912117,467.308533,17
3.760,standing,80.3,1,0.748096,85.395264,187.869995,0.454544,306.711945,380.045471,73.333527,0.390342,5.136535,469.773010,17
3.845,standing,75.6,1,0.818614,86.923889,189.502136,0.458696,307.382751,376.493927,69.111176,0.364699,6.334191,443.674133,17
3.929,standing,74.1,1,0.760340,85.057800,193.738953,0.439033,306.515381,379.475586,72.960205,0.376590,5.196905,473.012604,17
4.007,standing,68.5,1,0.840860,86.591980,189.227539,0.457608,307.601257,375.520020,67.918762,0.358926,7.254047,439.750092,17
4.085,standing,68.5,1,0.789813,86.848022,190.426819,0.456070,307.868530,376.805725,68.937195,0.362014,7.092354,451.984497,17
4.171,standing,74.3,1,0.809887,86.262573,192.958969,0.447051,307.474274,376.617798,69.143524,0.358333,6.898524,450.916046,17
4.245,standing,65.4,1,0.779092,86.075928,197.872131,0.435008,307.565002,379.357971,71.792969,0.362825,5.773615,461.314789,17
4.328,standing,73.5,1,0.884263,88.216003,187.917358,0.469440,307.297302,378.066833,70.769531,0.376599,5.687558,442.872131,17
4.411,standing,74.3,1,0.808868,83.917786,186.106018,0.450914,306.581604,378.024170,71.442566,0.383881,4.862435,467.283386,17
4.490,standing,71.4,1,0.864247,85.871582,187.139267,0.458865,307.208740,374.536499,67.327759,0.359774,7.052908,436.718933,17
