t_rel,label,ms,n_persons,conf,bbox_w,bbox_h,aspect,sh_y,hip_y,sh_hip_gap,sh_hip_gap_norm,torso_angle,ank_y,kp_ok
10.76,standing,88.0,2,0.69,582,301,1.93,469,,,,,,10
10.84,standing,76.0,2,0.70,587,314,1.87,469,,,,,,10
10.92,standing,78.2,2,0.71,569,285,2.00,471,,,,,,10
11.01,standing,86.3,2,0.73,567,279,2.03,471,,,,,,10
11.10,standing,94.5,2,0.73,578,301,1.92,471,,,,,,10
11.19,standing,84.0,2,0.72,576,303,1.90,472,,,,,,10
11.28,standing,81.3,2,0.74,580,302,1.92,473,,,,,,10
11.36,standing,86.8,2,0.73,580,315,1.84,474,,,,,,10
11.45,standing,78.7,2,0.74,582,307,1.90,473,,,,,,10
11.53,standing,79.5,2,0.75,580,292,1.99,473,,,,,,10
11.61,standing,78.7,2,0.75,582,308,1.89,473,,,,,,10
11.69,standing,73.2,2,0.74,582,297,1.96,472,,,,,,10
11.78,standing,88.8,2,0.74,576,299,1.93,473,,,,,,10
11.87,standing,86.3,2,0.74,584,307,1.90,472,,,,,,10
11.96,standing,90.9,2,0.73,575,293,1.96,472,,,,,,10
12.06,standing,93.2,2,0.76,584,285,2.05,472,,,,,,10
12.18,standing,116.6,2,0.77,581,275,2.11,471,,,,,,10
12.27,standing,88.6,2,0.75,572,239,2.39,472,,,,,,10
12.35,standing,80.7,1,0.80,578,222,2.60,473,,,,,,10
12.44,standing,83.6,1,0.78,546,210,2.60,473,,,,,,10
12.52,standing,81.9,1,0.78,497,202,2.46,472,,,,,,8
12.60,standing,81.0,1,0.68,464,203,2.29,476,,,,,,7
12.72,standing,113.0,1,0.69,410,205,2.00,469,,,,,,7
12.81,standing,87.0,1,0.73,403,205,1.97,470,,,,,,7
12.90,standing,91.1,1,0.72,400,206,1.94,467,,,,,,7
12.97,standing,65.7,1,0.73,398,205,1.94,467,,,,,,7
13.08,standing,106.3,1,0.70,390,205,1.90,469,,,,,,7
13.17,standing,88.4,1,0.70,403,206,1.96,468,,,,,,7
13.27,standing,91.3,1,0.68,383,204,1.88,469,,,,,,7
13.35,standing,79.2,1,0.69,385,206,1.87,469,,,,,,7
13.44,standing,91.9,1,0.69,383,205,1.87,469,,,,,,7
13.53,standing,83.8,1,0.69,382,205,1.86,470,,,,,,7
13.62,standing,86.7,1,0.70,382,206,1.85,468,,,,,,7
13.71,standing,83.4,1,0.69,374,205,1.82,470,,,,,,7
13.80,standing,92.0,1,0.68,370,206,1.80,470,,,,,,7
13.87,standing,69.1,1,0.69,367,206,1.78,469,,,,,,7
13.95,standing,77.1,1,0.69,370,206,1.80,470,,,,,,7
14.04,standing,89.2,1,0.68,379,206,1.84,470,,,,,,7
14.15,standing,99.2,1,0.70,367,206,1.78,470,,,,,,7
14.23,standing,77.3,1,0.69,372,206,1.81,471,,,,,,7
14.32,standing,87.2,1,0.70,367,206,1.78,471,,,,,,7
14.40,standing,79.8,1,0.68,369,206,1.79,472,,,,,,7
14.47,standing,73.0,1,0.69,367,206,1.78,471,,,,,,7
14.55,standing,75.9,1,0.69,357,206,1.73,471,,,,,,7
14.65,standing,92.0,1,0.69,366,206,1.78,471,,,,,,7
14.74,standing,94.0,1,0.70,372,206,1.81,471,,,,,,7
14.83,standing,81.9,1,0.69,370,206,1.80,470,,,,,,7
14.91,standing,79.6,1,0.70,368,206,1.79,470,,,,,,7
15.00,standing,82.1,1,0.70,382,206,1.85,471,,,,,,7
15.08,standing,84.6,1,0.70,382,206,1.85,471,,,,,,7
15.16,standing,74.8,1,0.69,368,206,1.79,470,,,,,,7
15.24,standing,78.1,1,0.68,378,206,1.83,471,,,,,,7
15.33,standing,85.9,1,0.68,371,206,1.80,470,,,,,,7
15.41,standing,79.0,1,0.69,377,206,1.83,470,,,,,,7
2.10,standing,2100.6,1,0.75,356,208,1.71,473,,,,,,7
2.26,standing,93.6,1,0.74,369,208,1.77,472,,,,,,7
2.34,standing,76.2,1,0.74,405,207,1.96,474,,,,,,7
2.43,standing,83.6,1,0.73,423,207,2.04,473,,,,,,7
2.51,standing,73.3,1,0.74,438,207,2.12,473,,,,,,7
2.59,standing,78.7,1,0.71,398,207,1.92,474,,,,,,7
2.67,standing,79.6,1,0.72,409,207,1.98,474,,,,,,7
2.76,standing,83.6,1,0.71,398,207,1.92,474,,,,,,7
2.86,standing,105.7,1,0.72,420,207,2.03,474,,,,,,7
2.94,standing,76.2,1,0.72,422,207,2.04,474,,,,,,7
3.05,standing,103.4,1,0.73,431,207,2.08,473,,,,,,7
3.14,standing,86.4,1,0.73,429,207,2.07,473,,,,,,7
3.24,standing,95.2,1,0.74,422,207,2.04,474,,,,,,7
3.33,standing,94.7,1,0.74,423,207,2.04,473,,,,,,7
3.42,standing,78.1,1,0.72,395,207,1.91,474,,,,,,7
3.50,standing,83.1,1,0.73,422,207,2.04,474,,,,,,7
3.60,standing,94.7,1,0.70,398,207,1.92,473,,,,,,7
3.70,standing,102.2,1,0.71,401,207,1.94,473,,,,,,7
3.82,standing,110.0,1,0.71,395,207,1.91,473,,,,,,7
3.93,standing,107.3,1,0.73,426,207,2.06,472,,,,,,7
4.02,standing,89.2,1,0.72,421,207,2.03,472,,,,,,7
4.12,standing,99.2,1,0.71,410,207,1.98,474,,,,,,7
4.22,standing,99.3,1,0.71,417,207,2.01,473,,,,,,7
4.31,standing,82.1,1,0.71,399,207,1.93,472,,,,,,7
4.39,standing,84.1,1,0.72,408,207,1.97,472,,,,,,7
4.48,standing,79.5,1,0.73,430,207,2.08,472,,,,,,7
4.57,standing,88.7,1,0.72,423,207,2.04,473,,,,,,7
4.65,standing,81.9,1,0.73,428,207,2.07,472,,,,,,7
4.75,standing,93.3,1,0.73,446,207,2.15,473,,,,,,7
4.83,standing,78.7,1,0.72,421,207,2.03,473,,,,,,7
4.91,standing,74.9,1,0.72,405,207,1.96,473,,,,,,7
4.99,standing,78.6,1,0.71,391,207,1.89,474,,,,,,7
5.07,standing,81.7,1,0.73,412,207,1.99,473,,,,,,7
5.16,standing,84.3,1,0.74,428,207,2.07,473,,,,,,7
5.24,standing,79.6,1,0.71,390,205,1.90,474,,,,,,7
5.33,standing,80.1,1,0.72,398,206,1.93,474,,,,,,7
5.41,standing,79.4,1,0.71,391,206,1.90,474,,,,,,7
5.50,standing,88.0,1,0.74,395,207,1.91,474,,,,,,7
5.58,standing,74.5,1,0.76,447,206,2.17,468,,,,,,7
5.66,standing,76.5,1,0.84,478,206,2.32,476,,,,,,7
5.74,standing,83.6,1,0.84,477,206,2.32,476,,,,,,7
5.83,standing,83.1,1,0.83,496,206,2.41,474,,,,,,8
5.91,standing,85.6,1,0.85,510,206,2.48,473,,,,,,8
6.00,standing,79.6,1,0.85,509,206,2.47,474,,,,,,8
6.08,standing,78.7,1,0.84,509,206,2.47,473,,,,,,8
6.15,standing,70.8,1,0.85,512,206,2.49,474,,,,,,8
6.23,standing,79.9,1,0.84,511,206,2.48,474,,,,,,8
6.33,standing,90.1,1,0.85,517,207,2.50,473,,,,,,8
6.41,standing,84.2,1,0.86,519,206,2.52,474,,,,,,8
6.50,standing,80.3,1,0.85,518,207,2.50,473,,,,,,8
6.58,standing,86.0,1,0.86,514,206,2.50,474,,,,,,8
6.67,standing,81.1,1,0.85,516,207,2.49,474,,,,,,8
6.75,standing,81.3,1,0.85,506,206,2.46,475,,,,,,8
6.83,standing,74.8,1,0.85,516,206,2.50,474,,,,,,8
6.90,standing,71.8,1,0.86,506,206,2.46,475,,,,,,8
6.99,standing,85.2,1,0.85,518,206,2.51,473,,,,,,8
7.07,standing,79.2,1,0.85,515,206,2.50,473,,,,,,8
7.15,standing,75.1,1,0.85,520,206,2.52,474,,,,,,8
7.23,standing,77.3,1,0.84,512,206,2.49,474,,,,,,8
7.31,standing,75.9,1,0.85,519,206,2.52,475,,,,,,8
7.39,standing,74.0,1,0.85,515,206,2.50,475,,,,,,8
7.47,standing,80.2,1,0.86,516,206,2.50,475,,,,,,8
7.55,standing,80.8,1,0.85,516,205,2.52,475,,,,,,8
7.63,standing,74.1,1,0.85,515,206,2.50,475,,,,,,8
7.71,standing,77.5,1,0.85,517,206,2.51,475,,,,,,8
7.79,standing,74.2,1,0.84,525,206,2.55,474,,,,,,8
7.87,standing,82.4,1,0.84,519,206,2.52,475,,,,,,8
7.95,standing,75.2,1,0.85,528,206,2.56,474,,,,,,8
8.03,standing,71.9,1,0.85,527,206,2.56,475,,,,,,8
8.11,standing,84.9,1,0.83,527,206,2.56,474,,,,,,8
8.21,standing,92.0,1,0.83,530,206,2.57,475,,,,,,7
8.29,standing,79.9,1,0.84,521,206,2.53,477,,,,,,8
8.38,standing,84.7,1,0.84,526,206,2.55,474,,,,,,8
8.46,standing,77.8,1,0.84,522,206,2.53,474,,,,,,8
